# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
2.828422156562189569e-04 5.366876501370727055e+03
2.853207698674712993e-04 5.412310171632218953e+03
2.878210437182898468e-04 5.458122444846940198e+03
2.903432275384805515e-04 5.504316336428523755e+03
2.928875133257154064e-04 5.550894883816194124e+03
2.954540947601467854e-04 5.597861146610525793e+03
2.980431672191520510e-04 5.645218206389061379e+03
3.006549277922056099e-04 5.692969165573405007e+03
3.032895752958826986e-04 5.741117148607347190e+03
3.059473102889935991e-04 5.789665302562333636e+03
3.086283350878511571e-04 5.838616797274260534e+03
3.113328537816714941e-04 5.887974825448544834e+03
3.140610722481104082e-04 5.937742597578318964e+03
3.168131981689351908e-04 5.987923336098848267e+03
3.195894410458343543e-04 6.038520284808974793e+03
3.223900122163655415e-04 6.089536710348644192e+03
3.252151248700430259e-04 6.140975902326188589e+03
3.280649940645672964e-04 6.192841173190417976e+03
3.309398367421947213e-04 6.245135853049828256e+03
3.338398717462534170e-04 6.297863289764112778e+03
3.367653198378013093e-04 6.351026854067538807e+03
3.397164037124314299e-04 6.404629939904061757e+03
3.426933480172249897e-04 6.458675964547809599e+03
3.456963793678514149e-04 6.513168369604640247e+03
3.487257263658199015e-04 6.568110626767471331e+03
3.517816196158805343e-04 6.623506234570638298e+03
3.548642917435797977e-04 6.679358715727180424e+03
3.579739774129679815e-04 6.735671617244410299e+03
3.611109133444632014e-04 6.792448510547925252e+03
3.642753383328707845e-04 6.849692984257889293e+03
3.674674932655619787e-04 6.907408628987746852e+03
3.706876211408109017e-04 6.965599054889133185e+03
3.739359670862916801e-04 7.024267895878765557e+03
3.772127783777397378e-04 7.083418809743899146e+03
3.805183044577740872e-04 7.143055478318526184e+03
3.838527969548870223e-04 7.203181610583272231e+03
3.872165097025976341e-04 7.263800943996225215e+03
3.906096987587757627e-04 7.324917240854320880e+03
3.940326224251329708e-04 7.386534288112592549e+03
3.974855412668863936e-04 7.448655897493299562e+03
4.009687181325931327e-04 7.511285905615371121e+03
4.044824181741595330e-04 7.574428174313563431e+03
4.080269088670258285e-04 7.638086590671892736e+03
4.116024600305262667e-04 7.702265066992727952e+03
4.152093438484302399e-04 7.766967540902951441e+03
4.188478348896605219e-04 7.832197975462298018e+03
4.225182101291952760e-04 7.897960350366694001e+03
4.262207489691518299e-04 7.964258630659455775e+03
4.299557332600565545e-04 8.031096794262922231e+03
4.337234473222992184e-04 8.098478842903526129e+03
4.375241779677776751e-04 8.166408802177222242e+03
4.413582145217298460e-04 8.234890721774510894e+03
4.452258488447591788e-04 8.303928694203132181e+03
4.491273753550517394e-04 8.373526873093282120e+03
4.530630910507880255e-04 8.443689442227041582e+03
4.570332955327520517e-04 8.514420611614181325e+03
4.610382910271378673e-04 8.585724617592217328e+03
4.650783824085561098e-04 8.657605720388601185e+03
4.691538772232419483e-04 8.730068158449475959e+03
4.732650857124670206e-04 8.803116151823798646e+03
4.774123208361555240e-04 8.876753942571916923e+03
4.815958982967086374e-04 8.950985796276163455e+03
4.858161365630359703e-04 9.025816002071876937e+03
4.900733568947993534e-04 9.101248879277052765e+03
4.943678833668681575e-04 9.177288815149269794e+03
4.987000428939883075e-04 9.253940240375724898e+03
