# 17d18ac21b0778456cc7e84f03bb8c5e9be547793a08b3a0c15e2fa3bd5adb0e#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6732,"mnu":0.06,"ns":0.96605,"ombh2":0.022383,"omch2":0.12009212027110579,"omnuh2":0.000644883920894239,"sigma_8":0.812},"data_sha256":"a1adf78a402c5980b250a8906c0f293637de20f272fa9463492015cc9b55df24","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.015247176618933392e-03 1.813306939204666924e+04
1.024143815896181708e-03 1.827684338452097654e+04
1.033118416671134198e-03 1.842163436033803373e+04
1.042171662122566133e-03 1.856744711071556230e+04
1.051304241415967813e-03 1.871428634304094157e+04
1.060516849756005207e-03 1.886215674036433848e+04
1.069810188439441600e-03 1.901106296784249207e+04
1.079184964908524785e-03 1.916100967199706793e+04
1.088641892804837656e-03 1.931200147718283552e+04
1.098181692023624976e-03 1.946404293917369068e+04
1.107805088768592855e-03 1.961713855011597843e+04
1.117512815607190051e-03 1.977129277624224051e+04
1.127305611526375649e-03 1.992651005829186761e+04
1.137184221988872014e-03 2.008279481066611697e+04
1.147149398989911508e-03 2.024015142121306417e+04
1.157201901114481056e-03 2.039858425375300067e+04
1.167342493595069797e-03 2.055809764487450593e+04
1.177571948369920659e-03 2.071869590155543119e+04
1.187891044141793032e-03 2.088038330027144912e+04
1.198300566437238710e-03 2.104316408597843110e+04
1.208801307666401920e-03 2.120704241023480063e+04
1.219394067183338483e-03 2.137202222831959079e+04
1.230079651346867092e-03 2.153810742817291975e+04
1.240858873581950550e-03 2.170530185477873965e+04
1.251732554441616291e-03 2.187360930909207309e+04
1.262701521669421607e-03 2.204303354798167857e+04
1.273766610262464221e-03 2.221357831549769253e+04
1.284928662534944727e-03 2.238524734948937476e+04
1.296188528182284135e-03 2.255804434406093424e+04
1.307547064345811064e-03 2.273197294620111279e+04
1.319005135678005770e-03 2.290703675468920483e+04
1.330563614408322931e-03 2.308323931441876266e+04
1.342223380409588839e-03 2.326058407565428206e+04
1.353985321264977986e-03 2.343907441095581089e+04
1.365850332335581847e-03 2.361871363766624199e+04
1.377819316828566816e-03 2.379950501699164670e+04
1.389893185865928886e-03 2.398145175281614866e+04
1.402072858553849409e-03 2.416455694869134459e+04
1.414359262052664740e-03 2.434882348436408211e+04
1.426753331647443021e-03 2.453425413277346161e+04
1.439256010819181140e-03 2.472085159714180190e+04
1.451868251316625101e-03 2.490861850962430253e+04
1.464591013228723568e-03 2.509755743029410951e+04
1.477425265057710031e-03 2.528767087197366709e+04
1.490371983792830720e-03 2.547896131834773041e+04
1.503432154984716542e-03 2.567143118313602827e+04
1.516606772820403362e-03 2.586508280446372009e+04
1.529896840199018206e-03 2.605991844349379971e+04
1.543303368808120538e-03 2.625594027810077387e+04
1.556827379200716177e-03 2.645315032867137779e+04
1.570469900872944503e-03 2.665155047020697020e+04
1.584231972342448275e-03 2.685114248912382391e+04
1.598114641227430400e-03 2.705192808342517674e+04
1.612118964326400908e-03 2.725390886121637959e+04
1.626246007698624102e-03 2.745708632134644722e+04
1.640496846745271523e-03 2.766146176552498946e+04
1.654872566291284422e-03 2.786703636009934053e+04
1.669374260667956349e-03 2.807381117067725427e+04
1.684003033796237399e-03 2.828178716058381906e+04
1.698759999270763998e-03 2.849096518929644662e+04
1.713646280444636573e-03 2.870134602116749738e+04
1.728663010514929713e-03 2.891293033919890513e+04
1.743811332608954977e-03 2.912571872257276482e+04
1.759092399871279395e-03 2.933971164132884223e+04
1.774507375551509416e-03 2.955490945475162152e+04
1.790057433092840083e-03 2.977131240570967202e+04
1.805743756221380716e-03 2.998892050774651580e+04
1.821567539036267509e-03 3.020773352577331389e+04
1.837529986100557835e-03 3.042775109328652979e+04
1.853632312532930548e-03 3.064897271729333079e+04
1.869875744100183606e-03 3.087139777656885417e+04
1.886261517310543114e-03 3.109502552343173011e+04
1.902790879507789638e-03 3.131985510973209239e+04
1.919465088966214143e-03 3.154588557112673152e+04
1.936285414986399240e-03 3.177311580966462134e+04
1.953253137991844361e-03 3.200154459191381102e+04
1.970369549626436404e-03 3.223117054722002649e+04
1.987635952852770393e-03 3.246199210325285094e+04
2.005053662051342264e-03 3.269400731867591094e+04
2.022624003120600342e-03 3.292721405030893220e+04
2.040348313577877628e-03 3.316161000094378687e+04
2.058227942661206185e-03 3.339719271747623861e+04
2.076264251432032720e-03 3.363395958976170368e+04
