# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
8.053495416116243817e-04 1.557861077940741598e+04
8.124068420689147061e-04 1.570385621501018977e+04
8.195259858466158063e-04 1.583003161461763921e+04
8.267075148794661953e-04 1.595714223342001242e+04
8.339519758511939988e-04 1.608519333140208255e+04
8.412599202361321048e-04 1.621419017292885837e+04
8.486319043411973866e-04 1.634413804232578332e+04
8.560684893482407246e-04 1.647504235777438225e+04
8.635702413567654390e-04 1.660690860833554689e+04
8.711377314270195554e-04 1.673974229291602751e+04
8.787715356234681923e-04 1.687354891954590494e+04
8.864722350586458528e-04 1.700833400503800294e+04
8.942404159373923064e-04 1.714410301474545486e+04
9.020766696014768330e-04 1.728086121839536645e+04
9.099815925746119116e-04 1.741861384265374363e+04
9.179557866078651368e-04 1.755736611171381810e+04
9.259998587254652429e-04 1.769712324676002390e+04
9.341144212710108001e-04 1.783789046591958686e+04
9.423000919540852702e-04 1.797967301061180478e+04
9.505574938972769037e-04 1.812247615977099849e+04
9.588872556836158367e-04 1.826630519272168021e+04
9.672900114044222101e-04 1.841116538533849234e+04
9.757664007075766933e-04 1.855706200950460698e+04
9.843170688462110282e-04 1.870400033249956687e+04
9.929426667278288925e-04 1.885198561566279022e+04
1.001643850963854264e-03 1.900102311404594366e+04
1.010421283919615961e-03 1.915111807640594998e+04
1.019275633764767921e-03 1.930227574463706696e+04
